#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
03D4cz 0.693165 0.695000 0 24.032070 0.100242 -1.763859 0.384538 -0.076797 0.085271 10.389000 0.245000 52894.648688 0.424818 0.010378 0.000565 0.006846 1 334.174418 -17.926271 -0.003731
03D4dh 0.625233 0.627000 0 23.386939 0.091453 1.127890 0.183953 -0.042907 0.049556 9.414000 0.162500 52906.261322 0.266379 0.001269 0.000652 -0.000286 1 334.379280 -17.629653 -0.000474
03D4di 0.896944 0.899000 0 24.333328 0.109618 1.454285 0.416048 -0.084188 0.064346 9.879000 0.063500 52901.059111 0.533964 0.009161 -0.001625 0.003864 1 333.542663 -17.506617 -0.021066
03D4dy 0.608261 0.610000 0 23.245350 0.090819 1.138023 0.183456 -0.098377 0.036013 5.294000 52.870500 52904.254238 0.256673 0.001827 0.000386 0.000832 1 333.710523 -17.956479 0.000104
03D4fd 0.789054 0.791000 0 24.222261 0.099608 0.784211 0.472461 -0.042547 0.065807 10.005000 0.219500 52938.532304 0.701119 0.004293 -0.000830 0.004876 1 334.060214 -17.395573 -0.010749
03D4gf 0.578292 0.580000 0 23.324299 0.090072 0.509293 0.312213 -0.036082 0.037889 7.638000 0.290500 52936.584162 0.410489 0.002358 0.000382 0.002465 1 333.595552 -17.734032 0.000897
03D4gg 0.590280 0.592000 0 23.431058 0.092935 1.001108 0.434531 0.011626 0.039609 10.162000 0.005500 52943.107164 0.554286 0.006612 0.000114 0.000114 1 334.167458 -18.164458 0.000614
04D1aj 0.719626 0.721000 0 23.898687 0.095665 0.391447 0.356584 -0.033571 0.066572 6.000000 5.000000 52998.962028 0.560532 0.005052 -0.000237 0.001316 1 36.474835 -4.994610 -0.005402
04D1dc 0.210032 0.211000 0 21.056779 0.085765 -1.236256 0.061648 -0.002674 0.025159 10.635000 0.041500 53230.680282 0.159906 -0.000108 0.000598 -0.000205 1 36.576935 -4.311968 -0.000962
04D1de 0.766590 0.768000 0 24.132026 0.096641 0.905821 0.243846 -0.118769 0.055806 9.640000 0.166500 53245.997478 0.243700 0.004224 -0.000140 -0.000465 1 36.649621 -4.422623 -0.008877
04D1ff 0.858513 0.860000 0 24.246115 0.101579 0.728060 0.277044 0.047131 0.057566 8.730000 0.304500 53251.193655 0.334470 0.004969 -0.000690 0.000720 1 36.410924 -4.902631 -0.017206
04D1hd 0.367904 0.369000 0 22.156621 0.086082 0.788975 0.068129 -0.092073 0.022091 8.199000 0.090500 53268.297565 0.081465 0.000072 0.000438 -0.000149 1 36.536808 -4.109634 0.000125
04D1hx 0.558746 0.560000 0 23.699983 0.089573 0.285130 0.191809 0.111683 0.035476 9.645000 0.133500 53260.059448 0.267003 0.001349 0.000524 0.000068 1 36.177063 -4.790326 0.001262
04D1hy 0.848509 0.850000 0 24.295329 0.100520 1.151184 0.275975 -0.054238 0.055401 8.086000 0.825500 53264.640916 0.393570 0.003284 -0.000753 0.000355 1 36.036226 -4.831071 -0.016226
04D1iv 0.996390 0.998000 0 24.617672 0.112483 1.273360 0.343306 -0.131063 0.051486 9.034000 0.450000 53264.472527 0.474194 0.006260 -0.001508 0.001697 1 36.200212 -4.152559 -0.030989
04D1jd 0.776594 0.778000 0 24.397768 0.098366 0.135220 0.286534 0.099259 0.070323 10.380000 0.147500 53259.203505 0.451405 0.003488 -0.000644 0.002038 1 36.961818 -4.943790 -0.009695
04D1jg 0.582932 0.584200 0 23.273246 0.090120 0.265156 0.158945 -0.104618 0.033952 11.338000 0.150500 53273.566497 0.212852 0.001492 0.000369 0.000478 1 36.552319 -4.134800 0.000793
04D1kj 0.583743 0.585000 0 23.335798 0.089495 0.218145 0.126028 -0.062764 0.029728 9.929000 0.107500 53297.246286 0.166859 0.000804 0.000360 -0.000020 1 36.969417 -4.180252 0.000774
04D1ks 0.796552 0.798000 0 24.128917 0.098413 0.698641 0.263320 0.094253 0.062032 7.966000 0.719000 53291.390434 0.382333 0.003176 -0.000539 0.001497 1 36.039649 -4.978721 -0.011400
04D1oh 0.588721 0.590000 0 23.396414 0.091211 -0.066782 0.206670 -0.068922 0.033246 9.170000 0.152500 53308.274600 0.204309 0.003106 0.000397 0.000623 1 36.259840 -4.236187 0.000653
04D1ow 0.913473 0.915000 0 24.343967 0.104751 -0.044070 0.285862 -0.160738 0.052163 9.397000 1.373500 53311.745728 0.341331 0.005516 -0.000809 0.001067 1 36.677899 -4.306190 -0.022752
04D1pc 0.768587 0.770000 0 24.546176 0.097274 -0.334164 0.338880 0.085159 0.063616 10.418000 0.179500 53324.791751 0.461441 0.004237 -0.000062 0.003505 1 36.603650 -4.399400 -0.009039
04D1pd 0.948455 0.950000 0 24.677344 0.112213 0.182611 0.422231 0.041278 0.060796 10.215000 0.114500 53318.504399 0.675128 0.010499 -0.001529 0.002540 1 36.915633 -4.631172 -0.026310
04D1pg 0.513793 0.515000 0 23.572554 0.090087 0.985964 0.196013 0.102976 0.035785 9.808000 0.161000 53326.887720 0.243145 0.002656 0.000695 0.001284 1 36.767329 -4.175287 0.001678
04D1pp 0.733609 0.735000 0 23.985380 0.094433 -1.344550 0.222627 -0.116857 0.052643 11.382000 0.089500 53320.365137 0.342305 0.001788 0.000185 0.000375 1 36.301993 -4.701584 -0.006371
04D1pu 0.637701 0.639000 0 24.012142 0.100758 -1.611068 0.377261 0.106744 0.082963 9.314000 0.239500 53330.125273 0.492420 0.009287 0.001795 0.006549 1 36.868641 -4.744934 -0.000958
04D1qd 0.765588 0.767000 0 24.244208 0.096330 0.180928 0.273244 0.012060 0.053803 10.496000 0.064500 53329.535944 0.367540 0.003763 0.000191 0.002279 1 36.637813 -4.107177 -0.008797
04D1rh 0.434861 0.436000 0 22.556493 0.087188 0.828369 0.210173 -0.057039 0.025846 9.888000 0.132000 53350.854462 0.259693 0.000738 0.000490 0.000144 1 36.946448 -4.253765 0.001224
04D1rx 0.983407 0.985000 0 24.760473 0.114131 0.594869 0.448702 -0.099334 0.059378 9.769000 0.125000 53352.514943 0.842783 0.006063 -0.001797 0.006621 1 36.295958 -4.618349 -0.029759
04D1sa 0.583743 0.585000 0 23.564276 0.091595 -0.442871 0.288839 -0.066413 0.033662 10.623000 0.064000 53360.231262 0.322116 0.004025 0.000291 0.000418 1 36.983995 -4.176071 0.000774
04D1si 0.700631 0.702000 0 23.857842 0.094362 0.136556 0.296761 -0.011566 0.054476 10.638000 0.127000 53359.930100 0.367187 0.004167 0.000348 0.001472 1 36.203316 -4.568950 -0.004181
04D1sk 0.662058 0.663400 0 24.072652 0.093186 0.445170 0.376768 0.084112 0.055869 10.416000 0.150000 53355.272005 0.523580 0.004263 0.000584 0.002546 1 36.094908 -4.353621 -0.002052
04D2al 0.838126 0.836000 0 24.337904 0.113632 -1.313788 1.141614 -0.090405 0.082993 9.642000 0.219000 53034.721700 1.163701 -0.018419 -0.002960 0.053578 1 150.468646 2.164106 -0.015223
04D2an 0.621874 0.620000 0 23.581303 0.092366 -0.297309 0.570339 -0.043585 0.048332 7.542000 0.574000 53031.162827 0.689737 0.005765 0.000278 0.007512 1 150.217956 2.041230 -0.000352
04D2cf 0.370586 0.369000 0 22.462924 0.095747 -0.861569 0.218055 -0.014022 0.034607 10.809000 0.157500 53075.840194 0.923642 -0.005152 0.001364 -0.002585 1 150.483707 1.879478 0.000174
04D2fp 0.416632 0.415000 0 22.546572 0.087194 0.385152 0.128111 -0.049753 0.027585 10.235000 0.217500 53107.439394 0.161220 0.000646 0.000509 -0.000269 1 149.867166 2.321014 0.000963
04D2fs 0.358570 0.357000 0 22.425017 0.086485 0.093895 0.101940 0.060514 0.025777 8.386000 0.294000 53107.698108 0.127774 0.000331 0.000522 -0.000332 1 150.092026 1.765398 -0.000044
04D2gb 0.451681 0.450000 0 22.903257 0.088233 -1.587699 0.173130 0.028125 0.034468 10.246000 0.090000 53108.401364 0.207216 0.001046 0.000577 -0.000303 1 150.594449 1.894161 0.001422
04D2gc 0.522762 0.521000 0 23.329087 0.089115 1.140206 0.201606 0.018441 0.035678 9.326000 0.202500 53118.117427 0.254157 0.001761 0.000408 -0.000301 1 150.413604 1.883052 0.001640
04D2gp 0.733996 0.732000 0 24.211821 0.102900 -1.352031 0.412599 -0.140940 0.085790 8.834000 0.230000 53110.449800 0.585038 0.007795 -0.001296 0.004435 1 149.834888 2.508879 -0.006398
04D2iu 0.701965 0.700000 0 24.226777 0.100028 -1.908278 0.419119 0.040580 0.085172 6.000000 5.000000 53120.735981 0.516810 0.008307 -0.000728 0.002177 1 150.304914 2.415050 -0.004263
04D2ja 0.742008 0.740000 0 24.094212 0.103483 0.357631 0.400499 -0.201828 0.071427 10.991000 0.094500 53123.200249 0.479119 0.011659 -0.001371 -0.002289 1 149.702091 1.771737 -0.006980
04D2kr 0.746118 0.744100 0 23.855911 0.095641 0.789091 0.314259 -0.024482 0.052863 6.000000 5.000000 53359.385247 0.421319 0.004924 0.000065 -0.000687 1 150.155592 1.711927 -0.007286
04D2mc 0.349560 0.348000 0 22.510167 0.089792 -1.796939 0.126086 0.084647 0.030212 10.960000 0.118000 53367.171790 0.131533 0.002033 0.000889 0.000792 1 150.148125 1.784181 -0.000206
04D2mh 0.591835 0.590000 0 23.386183 0.090444 1.581016 0.174200 0.022525 0.033803 9.097000 0.418000 53376.332260 0.246305 0.001447 0.000514 0.000110 1 149.941201 2.141025 0.000574
04D2mj 0.514746 0.513000 0 23.776721 0.090306 1.541433 0.225388 0.155788 0.035460 9.548000 0.123000 53374.439927 0.268534 0.002784 0.000699 0.000285 1 150.152215 2.577067 0.001675
04D3co 0.620632 0.620000 0 23.784306 0.093091 -0.677025 0.195335 -0.027937 0.046320 9.517000 0.243000 53101.471665 0.260652 0.003159 0.000465 0.001031 1 214.458245 52.963611 -0.000308
04D3cy 0.643646 0.643000 0 23.786478 0.094148 -0.204658 0.205403 -0.027514 0.065250 9.980000 0.212000 53101.095410 0.263867 0.003557 0.000809 0.001339 1 214.551810 52.658332 -0.001207
04D3dd 1.002795 1.002000 0 25.039369 0.137310 0.671653 0.683790 -0.016458 0.075290 9.480000 0.133500 53113.476527 1.147182 0.028800 -0.003574 0.011905 1 214.451686 52.470678 -0.031582
04D3df 0.470586 0.470000 0 23.532383 0.087988 -2.069250 0.149804 0.105832 0.030240 6.000000 5.000000 53119.610285 0.189708 0.000550 0.000492 -0.000104 1 214.541671 52.277686 0.001587
04D3do 0.610643 0.610000 0 23.559958 0.090588 -0.830682 0.148887 -0.118742 0.032813 10.485000 0.071000 53112.989696 0.263410 0.000712 0.000221 -0.000728 1 214.442008 52.267553 0.000029
04D3ez 0.263487 0.263000 0 21.666480 0.085550 -1.082884 0.084020 0.027124 0.023334 10.290000 0.012000 53115.465586 0.130280 0.000142 0.000511 0.000030 1 214.782644 53.071948 -0.001281
04D3fk 0.358336 0.357800 0 22.515607 0.086303 -0.386641 0.080806 0.079161 0.023414 10.189000 0.076500 53126.931633 0.083469 0.000310 0.000478 -0.000035 1 214.609102 52.528468 -0.000048
04D3fq 0.742697 0.742000 0 24.096172 0.097111 -0.429804 0.362643 -0.040737 0.068580 9.299000 0.045500 53120.155695 0.498009 0.003755 -0.000466 0.002506 1 214.241188 52.379472 -0.007031
04D3gt 0.451556 0.451000 0 23.241924 0.087828 -0.213624 0.112274 0.191395 0.029100 11.340000 0.094500 53137.866656 0.147746 0.000500 0.000531 -0.000192 1 215.635796 52.646921 0.001421
04D3gx 0.910752 0.910000 0 24.654449 0.112202 -0.449029 0.439178 -0.145757 0.058715 6.000000 5.000000 53125.846461 0.515388 0.009446 -0.001716 0.002166 1 215.056948 52.282777 -0.022474
04D3hn 0.552605 0.552000 0 23.488130 0.089654 -0.573944 0.124075 0.073514 0.037143 10.790000 0.022000 53137.153215 0.179585 0.000987 0.000538 0.000400 1 215.528731 52.228587 0.001353
04D3kr 0.337534 0.337000 0 21.966214 0.086047 1.231534 0.086007 -0.018647 0.022822 9.287000 0.066500 53166.004215 0.119512 0.000117 0.000478 -0.000147 1 214.149726 52.478874 -0.000416
04D3ks 0.750681 0.750000 0 23.808932 0.099406 0.623562 0.308295 -0.030192 0.064184 8.459000 0.226000 53163.232072 0.348431 0.006903 -0.000581 -0.000198 1 215.639780 52.185184 -0.007631
04D3lp 0.983777 0.983000 0 24.982708 0.141880 -1.385938 0.567714 0.009485 0.079183 8.895000 0.125000 53148.881346 0.859081 0.023079 -0.004558 0.003503 1 214.962120 52.503195 -0.029794
04D3lu 0.822697 0.822000 0 24.373493 0.100111 -0.556579 0.229796 -0.124503 0.058657 11.111000 0.076500 53169.144934 0.400118 0.001991 -0.000763 0.001743 1 215.283209 52.974792 -0.013766
04D3mk 0.813696 0.813000 0 24.296809 0.099177 -0.268869 0.283790 -0.147072 0.056741 9.719000 0.349000 53179.533839 0.327778 0.002661 -0.000635 0.002272 1 214.857351 53.163694 -0.012936
04D3ml 0.950763 0.950000 0 24.595947 0.112327 1.169760 0.445773 -0.137444 0.053817 9.882000 0.208500 53180.277913 0.591101 0.010022 -0.001560 0.001837 1 214.162783 53.093253 -0.026542
04D3nc 0.817732 0.817000 0 24.272419 0.101608 1.189651 0.449516 -0.082973 0.057216 9.127000 0.076500 53187.937406 0.498744 0.008546 -0.000619 0.003859 1 214.075911 52.273804 -0.013306
04D3nh 0.340520 0.340000 0 22.137345 0.085900 0.612333 0.087605 -0.003747 0.021528 9.356000 0.020500 53174.383789 0.100258 0.000252 0.000449 0.000103 1 215.611283 52.333448 -0.000364
04D3nr 0.960751 0.960000 0 24.586694 0.116274 0.200862 0.482331 0.026976 0.059622 6.000000 5.000000 53185.906440 0.589077 0.018011 -0.002114 -0.005166 1 215.660448 52.648687 -0.027541
04D3ny 0.810720 0.810000 0 24.233543 0.105587 -0.074816 0.490557 -0.014984 0.065642 10.032000 0.262000 53194.181933 0.624883 0.011046 -0.000968 0.006243 1 214.734665 52.187465 -0.012665
04D3oe 0.756687 0.756000 0 24.054929 0.095935 -1.003254 0.276674 -0.246300 0.060008 7.492000 54.194000 53195.271376 0.343919 0.002535 -0.000255 0.002196 1 214.914099 52.553847 -0.008093
04D4an 0.611252 0.613000 0 24.015491 0.095195 -0.360563 0.402949 0.020341 0.042269 10.541000 0.154000 53183.689788 0.490409 0.009725 0.000370 0.002030 1 333.987920 -17.695501 0.000009
04D4bk 0.877971 0.880000 0 24.329232 0.103099 1.742402 0.435908 -0.112510 0.060316 7.844000 1.086000 53192.084465 0.485339 0.007809 -0.000617 0.006922 1 333.782100 -18.060275 -0.019145
04D4bq 0.548325 0.550000 0 23.336908 0.091450 0.648772 0.262356 0.101208 0.039144 8.706000 0.752500 53193.680951 0.297432 0.004529 0.000649 0.001878 1 333.705933 -17.827595 0.001410
04D4dm 0.809032 0.811000 0 24.395023 0.101626 -0.265832 0.320488 0.002784 0.062488 8.977000 0.123500 53199.656722 0.580378 0.003685 -0.000776 0.003253 1 333.856058 -17.245159 -0.012512
04D4dw 1.028800 1.031000 0 24.588830 0.124800 1.103181 0.423865 -0.141513 0.061134 10.785000 0.220000 53200.718702 0.671621 0.009513 -0.002814 0.003824 1 334.186140 -17.834071 -0.033878
04D4fx 0.627239 0.629000 0 23.512839 0.092195 0.953562 0.194099 -0.033942 0.050867 8.305000 0.655500 53242.512721 0.219309 0.002481 0.000720 0.000162 1 334.158899 -18.066356 -0.000548
04D4gg 0.422452 0.424000 0 22.726347 0.088070 1.236716 0.138579 0.083147 0.026963 10.057000 0.345500 53246.782961 0.121953 0.001462 0.000612 0.000474 1 334.038579 -17.294411 0.001051
04D4hf 0.933900 0.936000 0 24.815885 0.126556 0.846145 0.644916 0.039429 0.084021 8.528000 1.276500 53236.711250 1.440780 0.019094 -0.003461 -0.003116 1 334.241251 -17.687025 -0.024836
04D4hu 0.701158 0.703000 0 23.921414 0.094504 0.014891 0.235769 -0.107691 0.058748 9.475000 0.222000 53256.876643 0.368925 0.003049 0.000195 0.000451 1 333.900866 -17.838900 -0.004213
04D4ib 0.697164 0.699000 0 23.589462 0.093324 0.976498 0.218386 -0.137669 0.052668 10.994000 0.118000 53267.438664 0.290240 0.002045 0.000295 0.000589 1 334.173804 -18.105089 -0.003970
04D4ic 0.685179 0.687000 0 24.117729 0.098300 -0.865996 0.390089 -0.011201 0.073401 9.325000 0.155000 53256.304509 0.650148 0.007010 0.000122 0.001596 1 333.591057 -17.943487 -0.003271
04D4id 0.767075 0.769000 0 24.198308 0.101187 0.680717 0.449001 -0.173571 0.061478 10.324000 0.196000 53261.694965 0.708363 0.007500 -0.000736 0.001812 1 334.089165 -17.229027 -0.008916
04D4ih 0.931901 0.934000 0 24.398812 0.111047 0.318349 0.345144 -0.213713 0.052888 10.855000 0.128500 53269.568855 0.424262 0.007991 -0.001595 -0.001143 1 334.320937 -17.677382 -0.024632
04D4ii 0.863978 0.866000 0 24.398482 0.103900 1.338030 0.416917 -0.006560 0.060395 10.931000 0.149000 53273.864714 0.523976 0.007583 -0.000804 0.004942 1 333.981800 -17.657478 -0.017746
04D4im 0.749100 0.751000 0 23.830175 0.096075 0.936907 0.237321 0.032930 0.060213 11.199000 0.102500 53285.344272 0.308801 0.003328 -0.000230 -0.001498 1 333.753525 -17.396042 -0.007510
04D4in 0.514353 0.516000 0 22.880762 0.088897 1.531348 0.146971 -0.070064 0.029004 9.101000 0.101500 53278.571558 0.143411 0.001547 0.000503 0.000452 1 333.785725 -17.261028 0.001676
04D4jr 0.468406 0.470000 0 22.634969 0.087451 1.528124 0.121479 -0.062844 0.026993 8.024000 0.675500 53298.423454 0.153546 0.000563 0.000414 -0.000185 1 333.559666 -17.350217 0.001572
04D4ju 0.470398 0.472000 0 23.758954 0.088446 0.448213 0.223756 0.153474 0.034825 9.239000 0.177000 53293.122048 0.283319 0.001705 0.000505 -0.000088 1 334.261358 -17.332814 0.001586
04D4jw 0.958871 0.961000 0 24.773087 0.125337 -0.701676 0.393737 -0.199987 0.064323 11.226000 0.100500 53286.344757 0.607811 0.008819 -0.002887 0.005528 1 334.328720 -17.665495 -0.027354
04D4jy 0.927909 0.930000 0 24.759723 0.121275 0.086232 0.452249 -0.114189 0.069432 8.357000 1.803000 53289.060160 0.750357 0.010352 -0.002804 0.006606 1 333.464902 -17.404895 -0.024226
05D1az 0.840522 0.842000 0 24.254281 0.101288 1.861994 0.369253 -0.013003 0.059913 8.631000 0.633500 53603.188214 0.392216 0.008417 -0.000258 0.004794 1 36.302108 -4.602335 -0.015453
05D1cb 0.630699 0.632000 0 23.700974 0.091576 -0.246796 0.203901 0.001443 0.042662 10.111000 0.079500 53616.781601 0.299918 0.001298 0.000761 0.000326 1 36.737733 -4.117567 -0.000680
05D1cc 0.562751 0.564000 0 23.506645 0.090329 -0.148276 0.154372 -0.009066 0.031676 9.316000 0.202500 53607.889353 0.228898 0.001987 0.000588 0.001257 1 36.629866 -4.164801 0.001197
05D1ck 0.615698 0.617000 0 24.070744 0.092238 -0.094687 0.233678 0.108958 0.039039 9.724000 0.172000 53628.253726 0.262531 0.003486 0.000421 0.000648 1 36.103540 -4.712800 -0.000137
05D1cl 0.828528 0.830000 0 24.361588 0.100853 2.292412 0.344330 -0.067245 0.057616 8.420000 0.474500 53627.265051 0.495457 0.006699 -0.000644 0.000415 1 36.273563 -4.220818 -0.014312
05D1dn 0.564741 0.566000 0 23.285141 0.089709 1.229575 0.223354 -0.021239 0.035307 10.234000 0.047000 53649.382509 0.328916 0.001941 0.000385 0.000057 1 36.111040 -4.991558 0.001162
05D1dx 0.578745 0.580000 0 23.278595 0.089343 0.650723 0.122195 -0.045401 0.030716 9.416000 0.113000 53666.525378 0.168757 0.000665 0.000406 -0.000093 1 36.945791 -4.032490 0.000887
05D1ee 0.557743 0.559000 0 23.522028 0.090291 -0.594306 0.188030 0.000429 0.035409 10.973000 0.087500 53660.634279 0.202348 0.002253 0.000470 0.000277 1 36.194786 -4.000485 0.001278
05D1em 0.864497 0.866000 0 24.277329 0.102986 0.231091 0.291511 -0.141676 0.059074 11.043000 0.047000 53667.795793 0.394395 0.004205 -0.000974 0.002038 1 36.023010 -4.939906 -0.017798
05D1eo 0.735608 0.737000 0 24.300208 0.096764 -1.464408 0.301676 -0.051696 0.066321 11.125000 0.177000 53667.103434 0.439056 0.004216 -0.000055 0.001730 1 36.346421 -4.642671 -0.006514
05D1er 0.858507 0.860000 0 24.622355 0.106173 0.414445 0.446603 0.075253 0.074018 10.379000 0.148000 53667.198123 0.580708 0.008246 -0.001372 0.006513 1 36.422736 -4.004535 -0.017205
05D1hk 0.261984 0.263000 0 21.189797 0.087390 1.380255 0.120042 -0.010342 0.026024 8.930000 0.147000 53717.917139 0.116296 0.001239 0.000684 0.000089 1 36.163234 -4.634253 -0.001286
05D1hm 0.585743 0.587000 0 24.087789 0.092677 1.097063 0.289914 0.147914 0.041531 9.854000 0.177000 53696.057435 0.401128 0.005130 0.000692 0.002491 1 36.942572 -4.717286 0.000726
05D1if 0.761580 0.763000 0 24.040031 0.096723 0.177122 0.251313 -0.056950 0.052854 6.000000 5.000000 53715.517868 0.213355 0.004989 0.000032 0.000149 1 36.123871 -4.570338 -0.008477
05D1ix 0.488800 0.490000 0 22.868484 0.088390 0.545038 0.136698 -0.068405 0.026726 7.466000 0.709500 53719.435265 0.132872 0.001361 0.000501 0.000322 1 36.083196 -4.670004 0.001678
05D1iz 0.858516 0.860000 0 24.427101 0.116450 1.158479 0.703275 -0.136633 0.080484 8.911000 0.772000 53694.622356 0.818184 0.028940 -0.000321 0.024497 1 36.553202 -4.773370 -0.017206
05D1ke 0.688656 0.690000 0 23.604428 0.092298 0.227770 0.256664 -0.107541 0.049745 8.851000 0.332500 53731.345985 0.341612 0.001533 0.000490 0.001262 1 36.692882 -4.862496 -0.003469
05D1kl 0.558743 0.560000 0 24.148746 0.092898 0.658004 0.296028 0.133007 0.040958 8.425000 0.282500 53742.927446 0.414453 0.004633 0.000591 0.001157 1 36.139745 -4.318960 0.001262
05D2ab 0.324532 0.323000 0 21.993375 0.086121 -0.146918 0.085037 -0.039628 0.022341 10.098000 0.080000 53381.262279 0.102272 0.000439 0.000500 0.000253 1 150.461859 2.106329 -0.000630
05D2ac 0.480704 0.479000 0 22.671051 0.087736 1.123507 0.112202 -0.054059 0.024921 11.153000 0.058500 53374.628095 0.152454 0.000532 0.000434 -0.000060 1 149.746812 2.489504 0.001646
05D2ah 0.185371 0.184000 0 20.758955 0.085522 -0.075113 0.047645 0.001222 0.024163 9.210000 0.014500 53382.699789 0.063313 -0.000036 0.000578 -0.000147 1 150.369700 1.862732 -0.000379
05D2ay 0.922221 0.920000 0 24.664061 0.117413 -0.433873 0.621851 0.026835 0.094498 10.277000 0.128500 53375.299009 0.872535 0.019311 -0.001771 0.020299 1 150.284664 2.130321 -0.023645
05D2bt 0.681942 0.680000 0 23.499419 0.094158 0.540880 0.258110 -0.150704 0.049795 6.000000 5.000000 53401.527341 0.246077 0.004768 0.000667 0.001993 1 150.417683 2.566161 -0.003090
05D2bv 0.475707 0.474000 0 22.715329 0.087947 -0.007188 0.123940 -0.104000 0.025243 8.838000 0.111000 53404.214768 0.140514 0.000953 0.000468 0.000141 1 150.570830 2.240600 0.001620
05D2bw 0.922210 0.920000 0 24.380224 0.117626 -0.310684 0.475240 -0.138410 0.063435 9.144000 0.540000 53400.216346 0.453569 0.017426 -0.001715 0.004830 1 149.627324 2.536402 -0.023644
